Application,function,source
AppCleaner,automates application removal for cleaner uninstalls,http://www.freemacsoft.net/appcleaner/
create a dmg,create a dmg out of .app,http://blog.nngafook.com/2012/07/app-to-dmg/
Cyberduck,FTP/SCP/etc GUI application,https://cyberduck.io/?l=en
Flowdock,Application for instantmessaging at work,https://www.flowdock.com/download
Flux,tunes the screen colors to be kinder to your eyes,https://justgetflux.com/news/pages/mac/
Google Chrome,browser,http://www.google.com/chrome/
Google Drive,mounted drive storage,https://support.google.com/a/answer/2490101?hl=en
iTerm2,terminal replacement,http://www.iterm2.com/#/section/features
HomeBrew,package manager for mac,http://brew.sh/
Keka,"archive application. Handles 7zip, zip, rar, etc",http://www.kekaosx.com/en/
login screen,how to make any picture your lockscreen,http://lifehacker.com/customize-the-login-screen-on-os-x-yosemite-1683740565#_ga=1.193139629.1055861349.1441835238
Microsoft Remote Desktop,remote desktop application,https://itunes.apple.com/us/app/microsoft-remote-desktop/id715768417?mt=12
Pycharm,python IDE,https://www.jetbrains.com/pycharm/download/
SmartSVN 8.6,best SVN client on OSX IMO,http://www.smartsvn.com/
Spectacle,allows for window snap feature similar to windows via keyboard commands,http://spectacleapp.com/
Spotify,personal music streaming,https://www.spotify.com/us/download/mac/
Sublime Text,"text editor for coding, notes, etc",http://www.sublimetext.com/
TeamViewer,remote desktop application,https://www.teamviewer.com/en/download/mac.aspx
The unarchiver,"archive application. Handles 7zip, zip, rar, etc",http://wakaba.c3.cx/s/apps/unarchiver.html
Tunnelblick,openVPN client,https://code.google.com/p/tunnelblick/
VLC,video player,http://www.videolan.org/vlc/download-macosx.html
VMware Fusion,virtual machines application. Not as robust as vmware workstation,http://www.vmware.com/products/fusion
VMware Horizon Client,virtual appliance connector,https://my.vmware.com/web/vmware/login
Wireshark,capture network traffic,https://www.wireshark.org/download.html
Xcodedownload,OSX application framework,https://developer.apple.com/xcode/
XtraFinder,adds more options and features to the default system explorer application,https://www.trankynam.com/xtrafinder/
